subject,Block,Trial,array.RT,array.ACC,array.RESP,correct,loadLevel,trial_type
1301,6,1,824,1,0,0,0,comp
1301,6,2,424,1,0,0,0,inco
1301,6,3,499,1,2,2,0,neut
1301,6,4,427,1,2,2,0,neut
1301,6,5,327,0,2,0,0,comp
1301,6,6,475,1,2,2,0,neut
1301,6,7,766,1,2,2,0,comp
1301,6,8,486,1,0,0,0,neut
1301,6,9,687,0,2,0,0,neut
1301,6,10,820,0,2,0,0,inco
1301,6,11,738,1,0,0,0,neut
1301,6,12,639,1,2,2,0,neut
1301,6,13,725,1,2,2,0,inco
1301,6,14,499,1,2,2,0,inco
1301,6,15,619,1,0,0,0,inco
1301,6,16,452,1,2,2,0,inco
1301,6,17,638,1,0,0,0,neut
1301,6,18,613,1,2,2,0,inco
1301,6,19,859,1,0,0,0,comp
1301,6,20,489,1,2,2,0,neut
1301,6,21,927,0,2,0,0,neut
1301,6,22,0,0, ,0,0,neut
1301,6,23,493,1,2,2,0,neut
1301,6,24,465,1,2,2,0,neut
1301,6,25,544,1,2,2,0,inco
1301,6,26,673,1,2,2,0,inco
1301,6,27,501,1,2,2,0,inco
1301,6,28,578,1,0,0,0,comp
1301,6,29,565,1,2,2,0,inco
1301,6,30,445,1,2,2,0,neut
1301,6,31,353,1,2,2,0,comp
1301,6,32,358,1,2,2,0,comp
1301,6,33,338,0,2,0,0,inco
1301,6,34,421,1,0,0,0,inco
1301,6,35,495,1,2,2,0,neut
1301,6,36,357,1,2,2,0,inco
1301,6,37,717,1,0,0,0,inco
1301,6,38,620,0,2,0,0,comp
1301,6,39,558,1,0,0,0,inco
1301,6,40,365,1,0,0,0,comp
1301,6,41,444,1,0,0,0,comp
1301,6,42,408,1,0,0,0,comp
1301,6,43,513,1,2,2,0,neut
1301,6,44,938,1,0,0,0,inco
1301,6,45,569,1,0,0,0,neut
1301,6,46,652,1,2,2,0,comp
1301,6,47,309,0,2,0,0,comp
1301,6,48,637,1,2,2,0,comp
1301,6,49,796,1,2,2,0,comp
1301,6,50,477,1,2,2,0,neut
1301,6,51,460,1,2,2,0,inco
1301,6,52,564,1,0,0,0,neut
1301,6,53,617,0,2,0,0,comp
1301,6,54,1341,1,0,0,0,neut
1301,6,55,738,1,0,0,0,comp
1301,6,56,678,1,0,0,0,inco
1301,6,57,377,1,0,0,0,inco
1301,6,58,494,1,2,2,0,inco
1301,6,59,505,1,2,2,0,comp
1301,6,60,546,1,0,0,0,neut
1301,6,61,884,1,0,0,0,neut
1301,6,62,521,1,2,2,0,inco
1301,6,63,479,1,0,0,0,neut
1301,6,64,590,1,2,2,0,neut
1301,6,65,393,0,2,0,0,comp
1301,6,66,545,1,2,2,0,comp
1301,6,67,469,1,2,2,0,comp
1301,6,68,551,1,2,2,0,comp
1301,6,69,532,1,0,0,0,inco
1301,6,70,447,1,2,2,0,comp
1301,6,71,558,0,2,0,0,inco
1301,6,72,325,0,0,2,0,comp
1301,8,1,863,0,2,0,1,comp
1301,8,2,564,1,2,2,1,comp
1301,8,3,562,1,2,2,1,inco
1301,8,4,327,1,2,2,1,comp
1301,8,5,440,1,0,0,1,inco
1301,8,6,450,1,2,2,1,comp
1301,8,7,415,0,2,0,1,comp
1301,8,8,612,1,0,0,1,neut
1301,8,9,426,1,2,2,1,comp
1301,8,10,585,1,0,0,1,inco
1301,8,11,472,1,2,2,1,inco
1301,8,12,832,1,2,2,1,comp
1301,8,13,420,1,0,0,1,inco
1301,8,14,507,1,2,2,1,inco
1301,8,15,523,1,2,2,1,inco
1301,8,16,473,1,0,0,1,comp
1301,8,17,523,1,0,0,1,neut
1301,8,18,450,1,2,2,1,neut
1301,8,19,439,1,2,2,1,inco
1301,8,20,0,0, ,0,1,inco
1301,8,21,482,0,2,0,1,comp
1301,8,22,615,1,2,2,1,neut
1301,8,23,532,1,0,0,1,neut
1301,8,24,569,1,2,2,1,inco
1301,8,25,668,0,2,0,1,inco
1301,8,26,457,1,0,0,1,neut
1301,8,27,0,0, ,0,1,neut
1301,8,28,649,1,0,0,1,neut
1301,8,29,642,1,2,2,1,comp
1301,8,30,602,1,0,0,1,inco
1301,8,31,479,1,2,2,1,neut
1301,8,32,539,1,2,2,1,inco
1301,8,33,736,1,0,0,1,inco
1301,8,34,979,0,0,2,1,comp
1301,8,35,412,1,2,2,1,inco
1301,8,36,523,1,2,2,1,neut
1301,8,37,593,0,2,0,1,neut
1301,8,38,663,1,0,0,1,neut
1301,8,39,517,1,0,0,1,inco
1301,8,40,489,1,0,0,1,neut
1301,8,41,883,1,0,0,1,inco
1301,8,42,732,0,0,2,1,inco
1301,8,43,441,0,2,0,1,comp
1301,8,44,534,1,0,0,1,inco
1301,8,45,544,1,0,0,1,neut
1301,8,46,407,0,0,2,1,comp
1301,8,47,455,0,2,0,1,comp
1301,8,48,371,1,0,0,1,comp
1301,8,49,543,1,2,2,1,neut
1301,8,50,482,0,2,0,1,comp
1301,8,51,606,1,2,2,1,comp
1301,8,52,587,1,2,2,1,inco
1301,8,53,331,1,2,2,1,inco
1301,8,54,395,1,2,2,1,neut
1301,8,55,621,1,0,0,1,inco
1301,8,56,480,1,2,2,1,neut
1301,8,57,633,1,2,2,1,neut
1301,8,58,475,1,2,2,1,comp
1301,8,59,525,1,2,2,1,comp
1301,8,60,563,1,0,0,1,comp
1301,8,61,518,1,2,2,1,comp
1301,8,62,608,1,0,0,1,neut
1301,8,63,586,0,2,0,1,neut
1301,8,64,512,1,2,2,1,neut
1301,8,65,525,1,2,2,1,neut
1301,8,66,517,1,0,0,1,comp
1301,8,67,647,1,0,0,1,inco
1301,8,68,441,1,0,0,1,comp
1301,8,69,453,1,0,0,1,comp
1301,8,70,448,1,2,2,1,neut
1301,8,71,549,1,2,2,1,inco
1301,8,72,565,1,2,2,1,neut
1301,10,1,0,0, ,0,0,inco
1301,10,2,852,0,2,0,0,inco
1301,10,3,646,1,0,0,0,inco
1301,10,4,482,0,2,0,0,inco
